target_date,sunset_time
01/08/2020,20:44
02/08/2020,20:42
03/08/2020,20:40
04/08/2020,20:38
05/08/2020,20:36
06/08/2020,20:34
07/08/2020,20:32
08/08/2020,20:30
09/08/2020,20:28
10/08/2020,20:26
11/08/2020,20:24
12/08/2020,20:22
13/08/2020,20:20
14/08/2020,20:18
15/08/2020,20:16
16/08/2020,20:14
17/08/2020,20:12
18/08/2020,20:09
19/08/2020,20:07
20/08/2020,20:05
21/08/2020,20:03
22/08/2020,20:01
23/08/2020,19:58
24/08/2020,19:56
25/08/2020,19:54
26/08/2020,19:51
27/08/2020,19:49
28/08/2020,19:47
29/08/2020,19:44
30/08/2020,19:42
31/08/2020,19:40
01/09/2020,19:37
02/09/2020,19:35
03/09/2020,19:33
04/09/2020,19:30
05/09/2020,19:28
06/09/2020,19:25
07/09/2020,19:23
08/09/2020,19:20
09/09/2020,19:18
10/09/2020,19:16
11/09/2020,19:13
12/09/2020,19:11
13/09/2020,19:08
14/09/2020,19:06
15/09/2020,19:03
16/09/2020,19:01
17/09/2020,18:58
18/09/2020,18:56
19/09/2020,18:54
20/09/2020,18:51
21/09/2020,18:49
22/09/2020,18:46
23/09/2020,18:44
24/09/2020,18:41
25/09/2020,18:39
26/09/2020,18:36
27/09/2020,18:34
28/09/2020,18:32
29/09/2020,18:29
30/09/2020,18:27
01/10/2020,18:24
02/10/2020,18:22
03/10/2020,18:19
04/10/2020,18:17
05/10/2020,18:15
06/10/2020,18:12
07/10/2020,18:10
08/10/2020,18:08
09/10/2020,18:05
10/10/2020,18:03
11/10/2020,18:01
12/10/2020,17:58
13/10/2020,17:56
14/10/2020,17:54
15/10/2020,17:51
16/10/2020,17:49
17/10/2020,17:47
18/10/2020,17:45
19/10/2020,17:42
20/10/2020,17:40
21/10/2020,17:38
22/10/2020,17:36
23/10/2020,17:34
24/10/2020,17:31
25/10/2020,16:29
26/10/2020,16:27
27/10/2020,16:25
28/10/2020,16:23
29/10/2020,16:21
30/10/2020,16:19
31/10/2020,16:17
01/11/2020,16:15
02/11/2020,16:13
03/11/2020,16:11
04/11/2020,16:09
05/11/2020,16:08
06/11/2020,16:06
07/11/2020,16:04
08/11/2020,16:02
09/11/2020,16:01
10/11/2020,15:59
11/11/2020,15:57
12/11/2020,15:56
13/11/2020,15:54
14/11/2020,15:52
15/11/2020,15:51
16/11/2020,15:50
17/11/2020,15:48
18/11/2020,15:47
19/11/2020,15:45
20/11/2020,15:44
21/11/2020,15:43
22/11/2020,15:42
23/11/2020,15:40
24/11/2020,15:39
25/11/2020,15:38
26/11/2020,15:37
27/11/2020,15:36
28/11/2020,15:35
29/11/2020,15:35
30/11/2020,15:34
01/12/2020,15:33
02/12/2020,15:32
03/12/2020,15:32
04/12/2020,15:31
05/12/2020,15:31
06/12/2020,15:30
07/12/2020,15:30
08/12/2020,15:30
09/12/2020,15:29
10/12/2020,15:29
11/12/2020,15:29
12/12/2020,15:29
13/12/2020,15:29
14/12/2020,15:29
15/12/2020,15:29
16/12/2020,15:29
17/12/2020,15:29
18/12/2020,15:30
19/12/2020,15:30
20/12/2020,15:30
21/12/2020,15:31
22/12/2020,15:32
23/12/2020,15:32
24/12/2020,15:33
25/12/2020,15:33
26/12/2020,15:34
27/12/2020,15:35
28/12/2020,15:36
29/12/2020,15:37
30/12/2020,15:38
31/12/2020,15:39
